,num_custumers,grid_size,num_drones,battery_endurance,cost_ratio,cost_savings
73,51,21,15,0.8473461560185533,29.575429643435402,1.4368115841765514
74,32,40,4,0.4337432496869973,25.873941041977456,4.155740535668072
75,28,25,11,0.47849819718297604,33.177879066445925,-2.2663908372762505
76,65,36,18,0.5540322272761373,28.562955540307428,4.525091889480013
77,60,23,20,0.7158484099693534,21.923920202320758,1.3460468364923786
78,40,40,16,0.783001905350571,24.03028851532142,4.954944225283101
79,55,20,17,0.8283714330459986,17.23941145902311,0.6475585074305387
80,54,30,1,0.5413894638768098,45.75127367832817,-0.06157968982960748
81,26,38,9,0.8446456248642942,33.970058834822375,3.5074010612896234
82,91,23,2,0.9901612374239169,11.128843275278438,4.276860894108118
83,84,28,5,0.9460787061679893,43.90356894113579,11.423539961606249
84,10,39,9,0.3009933529352619,49.96633811354641,0.0
85,96,35,13,0.8229205533068759,40.97206431870761,5.70656762553054
86,86,32,1,0.9408028925509542,23.74454682896241,5.734612721986124
87,11,27,8,0.4369681727361787,29.21760685836633,0.0
88,32,22,7,0.5760305568193957,10.853836551832918,0.5393515332951953
89,100,27,20,0.8993197006571292,43.34035351362091,4.331428182840345
90,19,21,2,0.7878898720715716,35.47613557945492,0.06655371028129328
91,69,28,8,0.9441343152836116,49.536979201659186,16.060221966496396
92,15,34,5,0.3233908627098076,28.440193038858673,0.0
93,18,20,2,0.9958241600278268,32.126156256726134,-2.677805764243352
94,89,35,19,0.5184496397287717,12.452648701366801,0.25612839156485484
95,58,26,18,0.9394657862258864,31.219439586574055,9.48413363145845
96,52,30,10,0.28879343879242947,24.123924483032482,-1.1500456696836414
97,99,39,19,0.9364135414228345,21.518149264131697,7.623594061903253
98,14,29,14,0.9064671013411343,26.743518160212155,6.095162219518398
99,50,30,10,0.353377512415452,47.45202851952422,1.8582080719612013
100,91,24,4,0.8956347422567983,48.31907492638702,7.728809847269606
101,94,34,1,0.839837580831646,34.72620575088267,-0.7766527838047804
102,37,20,12,0.8754101374487516,44.87428023920845,2.447737406956946
103,62,21,7,0.6042363298900288,38.80230406764642,3.905166379452404
104,16,29,17,0.530877650006932,31.05693824986529,2.518321054317399
105,91,38,8,0.3314363219725342,49.16125214668749,0.5555810341105714
