,num_custumers,grid_size,num_drones,battery_endurance,cost_ratio,cost_savings
134,90,33,13,0.8727683419465677,45.469895091286844,2.2045403867114137
135,27,25,18,0.40908369621881546,30.783674910069088,8.531205099061458
136,74,26,15,0.9016085651503184,39.176562776550064,33.20525131883238
137,14,20,2,0.5975123519376057,42.36405836823503,20.06272232404303
138,28,32,5,0.7227912626593567,37.09847766159573,14.110087467699971
139,88,27,6,0.9730296639891246,26.803804537775836,18.306840325537255
140,82,22,8,0.7175047538824579,27.4062176756588,10.879636928114941
141,95,33,12,0.6681002590762871,48.26122554148856,6.330305055945936
142,37,32,5,0.8504052460233267,26.92146668142707,9.068808637343734
143,60,31,19,0.3187610804419141,10.68120689907654,2.0565354480386726
144,17,27,10,0.7046939694522723,48.930085442436,26.34411276762532
145,16,37,15,0.7680119026133754,16.004592907739582,5.827153752327244
146,67,30,20,0.593278830430095,37.51028998003361,14.301122537988666
147,81,36,18,0.6641221269108261,36.56864264174657,-6.065404223115197
148,38,30,15,0.39271880696176087,32.207677532481696,1.2419100950054807
149,68,27,8,0.5853274693808868,18.37714706238636,12.263173465454123
150,55,39,12,0.7121489699325598,38.53926766155517,13.668279306370225
151,52,32,4,0.9165248950000126,16.365031329648872,11.850054646943283
152,45,38,9,0.6165234112657401,12.010765053997963,3.4704941277566155
153,30,33,10,0.5639689148407265,12.210987936252767,3.6833534824291205
154,81,30,12,0.568674556832661,28.705646251260298,12.034070521884056
155,16,20,15,0.900124618145559,14.785301775614315,60.41907725584088
156,30,22,18,0.9841231002999079,33.250686843992014,35.02730310103455
157,15,40,17,0.7579508863017248,27.215857145035702,9.732124205293466
158,81,34,11,0.4529043410030472,37.73413597229984,8.019658382825162
159,16,30,2,0.8161582834782507,31.761836049985085,12.292801255635576
160,19,34,17,0.3726846497920031,15.867731962754345,2.924595492673842
161,82,20,14,0.7250409924899722,13.30161546342449,25.39105754717299
162,16,36,2,0.8160433709877937,12.463185055937966,8.593729925642684
163,41,33,8,0.52734601962082,38.09369448916805,4.0229721926679645
164,14,33,9,0.5112048893319111,19.34188757191995,0.0
165,64,32,5,0.48881424277100727,13.067447342463945,3.2252183033129174
166,22,23,2,0.41590776265364093,33.33808672457175,17.473029647912554
167,81,32,3,0.3815906926877135,30.3131217651956,2.0774837274039335
168,68,27,5,0.9354199696075136,44.197952536051616,30.245872121356577
169,14,24,10,0.2998934870551159,40.60078314481233,3.269688624054947
170,75,38,1,0.5561606977823164,39.515857465080536,9.593590748639892
171,14,22,12,0.4909016812734722,14.339385060057971,5.977193384453153
172,92,22,10,0.9351329196191464,31.345130771969156,9.857895017481251
173,81,26,15,0.4973203238734266,12.175582796949858,5.027545032019024
174,47,32,19,0.3720795186930506,25.657436665159437,3.9650842516430993
175,42,35,15,0.6790177549878536,31.317189307680827,21.42184557940657
176,13,25,20,0.5937937544733202,44.4542205064944,8.624772230896827
177,65,27,13,0.7836581595600742,11.017528328948023,9.94305692629725
178,75,39,5,0.8764024162020698,13.869323301375328,2.7211518160370356
179,74,21,17,0.8435833817630926,13.429368037000415,17.089477766816085
180,51,22,14,0.841812574521767,44.817243741619066,33.00214062557804
181,68,29,15,0.5122468500139057,21.876873377586172,16.000319372897458
182,38,28,15,0.8159654737995156,32.53768998205551,20.437295571785526
183,84,35,14,0.6560891103908646,21.069705461969008,9.41636092174874
184,100,28,10,0.7910096514888778,46.06113154994924,25.3385796701895
185,40,40,18,0.46894856042251615,39.783032349795945,-3.7162599016339883
186,62,26,4,0.7457277752786323,35.839350068506164,3.4800433054933624
187,78,40,15,0.544832132364946,29.27302146088092,5.333568945691791
188,25,28,5,0.348777014869556,17.603360675264085,3.385844587305266
189,89,35,16,0.8297751273674894,49.154663775674535,14.361326335060136
190,57,26,16,0.5963596934031934,33.39648520361128,17.268095715643007
191,72,26,1,0.7135344649747317,25.92367768005628,11.800724428998132
192,39,38,16,0.7912246750466498,19.464921149922287,3.6853035066731525
193,91,35,14,0.7511977241930374,18.988336280808685,5.384112613971113
194,95,28,7,0.9620761753151323,44.739889884060254,17.28223076351033
195,53,23,15,0.8814106334318962,44.02795644646488,25.525843369827662
196,91,36,6,0.37952736023347566,27.55638741899474,-4.951212174284715
197,44,24,8,0.47095360693339744,14.285643405419615,12.246424243801147
198,78,22,18,0.9272921007733681,38.66828167107037,30.914161786658983
199,76,39,15,0.7049109320579492,28.689852684964837,8.541117280289972
200,77,28,13,0.5885416068297566,45.617812633523414,23.388296972665106
201,95,28,6,0.9134517300564539,41.65897863860883,21.605776729642926
202,76,20,16,0.8063623254788046,42.77388363883604,34.865973859540375
203,99,24,2,0.6053178634674469,37.82440401185728,11.73319734699678
204,76,28,16,0.41897394246769,45.85609938612805,8.951207676354167
205,19,40,18,0.5463869334554741,22.31998606916595,2.0148365234911867
206,54,22,12,0.5658213744564198,12.143752531556697,9.91844398835121
207,69,35,19,0.6728813915858737,23.185927436380076,6.016762906553042
208,96,38,15,0.35303472900740074,12.168600166607675,-0.04046606337876733
209,17,38,8,0.5487859261927039,27.777424637124764,1.3192934408687365
210,21,27,8,0.33569610955975937,19.525136006416773,11.14083251183716
211,10,20,15,0.9448565240442484,30.53238421865494,21.749831149533186
212,90,29,5,0.5088827468927886,43.77633357238872,18.13249747835902
213,70,30,13,0.9873338159406326,33.49193985241048,21.007759987235296
214,75,26,17,0.48507250142062297,15.018257366182524,11.582358190332911
215,13,25,16,0.6640294086367926,30.98778893515377,18.5770283031428
216,15,20,8,0.9998196885666321,24.187597771001222,16.10842302096906
217,41,40,8,0.7807337179762066,38.173772816089055,16.165390886683365
218,56,36,12,0.40315560186206234,40.643446237677594,0.9505281914682786
219,21,28,14,0.8446087684241661,44.73108984851808,24.487791638565852
220,72,36,7,0.4075353851233919,28.440978127125973,0.4325841809763724
221,39,28,14,0.9619048970269469,41.13908698788061,44.66740597460427
222,23,24,2,0.9488643287651568,26.00897186021703,46.45516068523054
223,39,20,5,0.49071911843509985,33.950837342989,5.939644544173699
224,60,39,19,0.5451529213103461,14.041642236460032,6.928325371861057
225,56,40,15,0.46598224671664695,23.20480550632212,1.1750936605428028
226,31,35,6,0.631037255805525,20.706221116664807,12.291512077198828
227,35,28,2,0.9019304855123769,30.44891306580642,20.005129819650346
228,78,24,17,0.3232925756121613,39.31519080536771,2.7628893692668797
229,67,31,10,0.49819099343848194,31.732305743076317,14.269561956850541
230,23,27,20,0.6883602870484398,43.528527332726185,21.509551680706945
231,43,26,18,0.8700966655556702,15.666158721790664,8.71542672723029
232,20,30,6,0.3988748444935232,13.686525766303541,6.528964194679728
233,97,39,19,0.4707762845251271,24.348896121757733,2.1855415482493856
234,20,40,17,0.9344563645500135,31.360325518413465,12.975785693535553
235,84,36,15,0.37515497528043534,11.06162671585032,3.9131620044426976
236,88,33,15,0.2534385465200537,24.90453308757516,3.42870010163554
237,42,35,15,0.8085573848885457,47.20105097673382,24.938448268853364
238,17,22,16,0.9888526021490696,38.908605984392935,38.53686952876873
239,21,21,8,0.9855497072476774,30.359550227387476,41.3426991996842
240,33,37,18,0.8212776903342818,36.860401004268226,11.172647093023826
